case:concept:name,concept:name,time:timestamp,People
7073,CreateBranch,2021-01-04 08:06:31+00:00,dkisser
7073,OpenPR,2021-01-04 08:50:02+00:00,dkisser
7073,Revise,2021-01-07 07:35:18+00:00,dkisser
7073,Revise,2021-01-08 02:03:51+00:00,dkisser
7073,Revise,2021-01-08 08:05:41+00:00,dkisser
7073,ClosePR,2021-01-13 03:41:47+00:00,dkisser
7073,ReopenPR,2021-01-13 03:42:12+00:00,dkisser
7073,ClosePR,2021-02-22 05:11:53+00:00,chickenlj
7081,CreateBranch,2021-01-06 02:30:31+00:00,zhangyz-hd
7081,OpenPR,2021-01-06 04:06:54+00:00,zhangyz-hd
7081,ClosePR,2021-01-14 08:57:29+00:00,zhangyz-hd
7081,DeleteBranch,2021-01-29 00:01:48+00:00,zhangyz-hd
7101,ForkRepository,2021-01-14 09:46:11+00:00,Fuxy-pg
7101,SubmitCommit,2021-01-14 09:59:02+00:00,Fuxy-pg
7101,OpenPR,2021-01-14 10:07:27+00:00,Fuxy-pg
7101,ClosePR,2021-01-15 01:37:57+00:00,Fuxy-pg
7101,ReopenPR,2021-01-15 01:38:14+00:00,Fuxy-pg
7101,PRReviewReject,2021-02-23 17:00:45+00:00,chickenlj
7101,ClosePR,2021-02-26 10:38:11+00:00,chickenlj
7110,SubmitCommit,2021-01-18 08:39:04+00:00,xukefu
7110,OpenPR,2021-01-18 08:39:44+00:00,xukefu
7110,ClosePR,2021-01-18 08:40:09+00:00,xukefu
7120,CreateBranch,2021-01-18 08:46:15+00:00,zhangyz-hd
7120,OpenPR,2021-01-21 10:37:55+00:00,zhangyz-hd
7120,Revise,2021-01-28 15:13:47+00:00,zhangyz-hd
7120,Revise,2021-01-28 15:25:51+00:00,zhangyz-hd
7120,Revise,2021-01-28 15:38:15+00:00,zhangyz-hd
7120,Revise,2021-01-28 15:56:11+00:00,zhangyz-hd
7120,Revise,2021-01-28 17:13:14+00:00,zhangyz-hd
7120,Revise,2021-01-28 22:23:37+00:00,zhangyz-hd
7120,Revise,2021-01-28 23:57:54+00:00,zhangyz-hd
7120,ClosePR,2021-02-22 06:39:44+00:00,chickenlj
7149,ForkRepository,2021-01-28 10:39:12+00:00,huibinliupush
7149,CreateBranch,2021-01-28 12:50:09+00:00,huibinliupush
7149,SubmitCommit,2021-01-28 16:01:19+00:00,huibinliupush
7149,OpenPR,2021-01-28 16:04:18+00:00,huibinliupush
7149,ClosePR,2021-01-28 16:06:53+00:00,huibinliupush
7155,SubmitCommit,2021-01-29 03:57:05+00:00,theonefx
7155,SubmitCommit,2021-01-29 10:15:00+00:00,theonefx
7155,SubmitCommit,2021-01-29 10:16:42+00:00,theonefx
7155,SubmitCommit,2021-01-29 10:19:46+00:00,theonefx
7155,OpenPR,2021-01-29 10:21:38+00:00,theonefx
7155,ClosePR,2021-01-29 14:07:42+00:00,theonefx
7158,SubmitCommit,2021-01-29 03:57:05+00:00,theonefx
7158,SubmitCommit,2021-01-29 10:15:00+00:00,theonefx
7158,SubmitCommit,2021-01-29 10:16:42+00:00,theonefx
7158,SubmitCommit,2021-01-29 10:19:46+00:00,theonefx
7158,SubmitCommit,2021-01-29 14:43:51+00:00,theonefx
7158,OpenPR,2021-01-29 14:44:05+00:00,theonefx
7158,ClosePR,2021-01-29 14:45:57+00:00,theonefx
